BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
7B:AA:E4:ED:14:57,,Apple,-95,-127,10
66:C5:12:C1:11:E7,MINOR III,Zound Industries International,-92,-5,10
27:47:5F:08:AB:F8,,,-89,-127,10
D4:1F:71:D0:9E:11,,Apple,-75,-127,10
BB:EA:FF:AE:39:97,HSB-330,,,-127,0
70:CE:27:5C:01:31,,Apple,-77,11,10
F8:3F:83:4E:CC:D8,,Apple,-94,-127,10
74:19:0A:08:08:67,Galaxy Fit3 (0867),Samsung Electronics,-91,-127,10
F8:AF:05:36:0A:05,,,-87,-127,10
CD:7D:B7:3F:C3:25,,Apple,-69,-127,10
44:7D:9F:54:28:F2,,Apple,-94,12,10
71:A3:EB:A7:89:0F,,,-76,-127,10
1A:E5:FC:F3:FE:7C,,,-99,-127,10
F0:35:73:CA:E3:FD,,Apple,,-127,0
76:E3:A2:C8:9B:16,,Apple,-73,7,10
71:1B:32:BF:85:19,,Apple,-83,-127,10
40:E3:D2:F6:53:30,,Apple,-69,-127,10
54:B3:A7:E0:2A:83,,Apple,,-127,0
52:DF:1F:7E:F9:A1,,Apple,-81,12,10
D5:74:5A:58:13:B8,,Apple,-76,-127,10
D8:F1:B9:65:8F:21,,Apple,-72,-127,10
