BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
6F:71:BC:BA:A3:2F,,Apple,,-127,0
D0:E1:67:51:97:5F,,Apple,,-127,0
54:78:49:7C:19:72,,Apple,-84,12,10
DC:0D:30:13:E9:F6,FSC-BP101E,"[""Google"",""Apple""]",-91,-127,10
"[""A4:C1:38:97:91:16"",""A4:C1:38:1D:A2:F5""]",LYWSD03MMC,Telink Semiconductor (Taipei) Co. Ltd.,,-127,0
D3:5C:F2:70:19:B7,,Apple,,-127,0
71:2E:C1:71:B3:AA,,Apple,-78,9,10
E8:FE:D6:7C:95:7F,Galaxy Watch Active (EABF) LE,Samsung Electronics,,-127,0
7E:EB:A0:94:A9:C7,,Apple,,-127,0
74:57:13:A5:61:24,,Apple,,-127,0
77:96:04:13:7E:47,,Google,-85,-127,10
57:E5:1F:5D:85:F3,,Apple,-84,12,10
C8:E1:81:71:DA:C1,,Apple,,-127,0
74:8A:55:EE:CA:98,,Google,,-127,0
50:60:C2:E1:56:CC,,Apple,,-127,0
C6:B9:CB:B4:40:EE,,Apple,-71,-127,10
5C:44:D3:2F:02:AC,,Microsoft,,-127,0
"[""78:91:20:7F:22:FF"",""FC:E8:00:81:1E:A2""]",EDIFIER BLE,,-86,-127,10
"[""78:91:20:7F:22:FF"",""FC:E8:00:81:1E:A2""]",EDIFIER BLE,,-86,-127,10
E8:A2:A8:BC:1D:10,,Apple,-88,-127,10
64:90:C1:93:66:09,,Xiaomi,,-127,0
43:49:AA:B3:CE:54,,,-93,-127,10
"[""A4:C1:38:97:91:16"",""A4:C1:38:1D:A2:F5""]",LYWSD03MMC,Telink Semiconductor (Taipei) Co. Ltd.,,-127,0
F0:A0:E2:5E:BB:7D,,Apple,,-127,0
54:EF:44:24:EE:67,,,,-127,0
44:45:46:66:E7:77,,Apple,,-127,0
76:19:44:BA:16:1A,,Apple,-93,-127,10
28:C7:E5:4D:16:66,,Microsoft,-65,-127,10
DC:9C:8A:88:84:08,,Apple,-92,-127,10
66:45:46:F3:EF:80,,Microsoft,-95,-127,10
C2:75:CA:EC:CD:57,,Apple,,-127,0
78:96:65:76:38:B4,,Apple,-87,-127,10
64:A5:FF:CF:F3:73,,Apple,,-127,0
C0:12:6C:0E:98:2A,JBL VIBE FLEX-LE,,,-127,0
