Channel #,Signals,Signals (802.11a),Signals (802.11b),Signals (802.11g),Signals (802.11n),Signals (802.11ac),Signals (802.11ax),Signals (802.11be),Strongest signal (dBm),Strongest signal SSID,Strongest signal BSSID,Beacons,Beacons (802.11a),Beacons (802.11b),Beacons (802.11g),Beacons (802.11n),Beacons (802.11ac),Beacons (802.11ax),Beacons (802.11be),Strongest beacon (dBm),Strongest beacon SSID,Strongest beacon BSSID,Secondary (non beacon) signals,Secondary (802.11n),Secondary (802.11ac),Secondary (802.11ax),Secondary (802.11be),Strongest secondary signal (dBm),Strongest secondary signal SSID,Strongest secondary signal BSSID,Airtime utilization (%; MA10),Associated clients (MA10),Lowest MBR
5GHz 108,2,2,,,2,2,,,-65,Orange_Swiatlowod_ANIA,ac:84:c9:4d:a8:87,,,,,,,,,,,,2,2,2,,,-65,Orange_Swiatlowod_ANIA,ac:84:c9:4d:a8:87,2,0,6
5GHz 112,2,2,,,2,2,,,-65,Orange_Swiatlowod_ANIA,ac:84:c9:4d:a8:87,2,2,,,2,2,,,-65,Orange_Swiatlowod_ANIA,ac:84:c9:4d:a8:87,,,,,,,,,2,0,6
5GHz 116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
5GHz 120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
5GHz 124,1,1,,,1,,,,-82,RYBNET-5-4-V,d4:ca:6d:42:a5:22,,,,,,,,,,,,1,1,,,,-82,RYBNET-5-4-V,d4:ca:6d:42:a5:22,,,6
5GHz 128,1,1,,,1,,,,-82,RYBNET-5-4-V,d4:ca:6d:42:a5:22,1,1,,,1,,,,-82,RYBNET-5-4-V,d4:ca:6d:42:a5:22,,,,,,,,,,,6
5GHz 132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
5GHz 136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
5GHz 140,2,2,,,2,2,,,-81,Bluesoft-Guest,6c:b2:ae:17:11:be,2,2,,,2,2,,,-81,Bluesoft-Guest,6c:b2:ae:17:11:be,,,,,,,,,0,0,6
5GHz 144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
5GHz 149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
5GHz 153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
5GHz 157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
5GHz 161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
5GHz 165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
5GHz 169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
5GHz 173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
5GHz 177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
5GHz 181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
6GHz 201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
