Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,146.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,rychOO.SDF.org/branka.pdf,,,,
1,6m Call,52.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,rychOO.SDF.org/branka.pdf,,,,
2,2m Call,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,rychOO.SDF.org/branka.pdf,,,,
3,220 Call,223.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,rychOO.SDF.org/branka.pdf,,,,
4,70cm Call,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,rychOO.SDF.ORG/branka.pdf,,,,
