BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
5C:07:ED:BC:DF:43,,,,-127,0
5F:0E:CD:E1:0D:57,,Apple,,-127,0
6B:B1:2F:75:63:E2,,Apple,-66,11,10
07:36:E5:C0:DE:36,,,-80,-127,10
45:87:3F:79:FC:6B,,,,-127,0
DC:4B:EF:20:A6:77,,Apple,,-127,0
CB:C7:E7:B4:54:81,,Apple,-58,-127,10
73:A7:BE:5E:95:C8,LE-Jano Bose,Bose Corporation,-49,-10,10
51:BA:2E:92:24:2E,,Apple,-58,12,10
4D:8A:96:51:6C:3B,,Samsung Electronics,,-127,0
D4:40:65:8B:FA:7B,,Apple,,-127,0
C4:81:08:7A:0D:2B,FMB920_5831915_LE,,,-127,0
F5:93:51:8B:D5:4F,,Apple,,-127,0
C8:3D:81:36:3F:F9,,Apple,,-127,0
C8:05:C6:DD:70:B4,,Apple,,-127,0
5B:99:19:58:98:B7,,Apple,-71,-127,10
00:94:EC:78:4A:3B,HUAWEI WATCH 3-A3B,"[""Huawei Device Co., Ltd."",""HUAWEI Technologies""]",-80,-127,10
42:8D:63:72:BF:48,,Apple,-92,9,10
7A:17:BA:7E:2D:FA,,Apple,-53,11,10
58:63:CF:A5:F9:0B,,Samsung Electronics,,-127,0
4C:BB:65:87:82:E5,,Apple,,-127,0
F8:54:AF:16:FE:08,,"[""Apple"",""ECI Telecom Ltd.""]",,-127,0
64:DB:10:E4:28:7C,,Apple,-59,9,10
1D:60:F2:0C:44:EB,,,-75,-127,10
C6:A7:E6:92:4C:BF,,Apple,,-127,0
F5:8B:83:69:B3:23,,Apple,,-127,0
4C:AC:12:B0:4E:24,,Apple,,-127,0
70:95:CE:62:CA:1F,,,-87,-127,10
40:8A:36:D4:0A:B6,,Apple,,-127,0
DB:74:F8:47:72:10,,Apple,-71,-127,10
4A:B8:8B:3C:15:17,,Apple,,-127,0
4E:CF:9C:4D:B9:E6,,Apple,-63,12,10
68:B3:EC:43:81:B9,,Apple,,-127,0
