BSSID,AP Name (from app),AP Location (from app),Notes (from app),AP Name (from AP),SSID,Seen,Manufacturer,Device,Channel width maximum (MHz),Phy speed maximum (Mbps),Phy technologies,Basic rates,Additional rates,Supported HT MCS,Supported VHT MCS,Supported HE MCS,Supported EHT MCS,SU-MIMO,MU-MIMO,Security,Capabilities,BSS Transition (802.11v),FT (802.11r) Responder,FT (802.11r) over the DS,RM (802.11k),MFP (802.11w) Required,MFP (802.11w) Capable,FTM (802.11mc) Responder,FTM (802.11mc) Initiator,MLO (802.11be) AP MLD,Frequency band,Channel width (MHz),Frequency from (MHz),Frequency to (MHz),Frequency primary (MHz),Primary channel,Channels used,rssi (dBm),Reported channel utilization (%),Reported stations
6c:3b:6b:bf:4d:0d,,,,IPConnect DACH,IPC28_Lipowa_tel_4295150,1718096196272,Routerboard.com,,40,300,"[""N300"",""a54""]",6,"[9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS],,,,,,,,,,U-NII-2C,40,,,5640,128,,-83,,
78:8a:86:96:9f:5c,,,,,NAVITEL R67 2K-e-5c,1718096193644,China Dragon Technology Limited,,20,72.2,"[""N72"",""g54"",""b11""]","[1,2,5.5,11]","[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7]",,,,,,WPA/WPA2-Personal,[RSN-PSK-CCMP][WPA-PSK-TKIP][ESS],,,,,,,,,,2.4GHz,20,,,2437,6,,-89,,
0a:18:0a:21:f4:7c,,,,,IMCD IT,1718096193182,,,20,144.4,"[""N144"",""g54"",""b11""]","[1,2,5.5,11]","[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA/WPA2-Personal,[RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],true,,,true,,,,,,2.4GHz,20,,,2412,1,,-90,10.6,1
9c:53:22:8d:7c:9a,,,,,Dom_5,1718096193704,TP-Link,Whole-home Wi-Fi,40,300,"[""N300"",""g54"",""b11""]","[1,2,5.5,11]","[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS][WPS],true,,,true,,,,,,2.4GHz,40,,,2442,7,,-90,,
a2:53:22:8d:7c:9a,,,,,,1718096193754,,,40,300,"[""N300"",""g54"",""b11""]","[1,2,5.5,11]","[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,true,,,,,,2.4GHz,40,,,2442,7,,-93,,
