BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
7D:BD:89:4F:AF:E6,,Apple,-96,12,10
40:1E:73:96:3A:18,,,,-127,0
14:F3:96:0B:4B:67,,,-85,-127,10
"[""A4:C1:38:97:91:16"",""A4:C1:38:1D:A2:F5""]",LYWSD03MMC,Telink Semiconductor (Taipei) Co. Ltd.,-91,-127,10
7A:1C:56:4F:B9:36,,Microsoft,-99,-127,10
D1:D4:5E:54:3E:DC,,Apple,-96,-127,10
FA:47:E5:87:4D:A5,V874da5,Apple,-90,0,10
6F:1A:44:31:2D:AB,,Microsoft,-93,-127,10
"[""A4:C1:38:97:91:16"",""A4:C1:38:1D:A2:F5""]",LYWSD03MMC,Telink Semiconductor (Taipei) Co. Ltd.,-91,-127,10
4F:A3:B6:04:8A:AB,,Microsoft,-89,-127,10
7F:7A:9E:39:C0:39,,Apple,-94,12,10
78:19:96:25:BC:E3,,Apple,-68,-127,10
63:74:9D:E7:82:22,,Microsoft,-100,-127,10
78:14:6B:63:F3:69,,Microsoft,-89,-127,10
42:2F:0C:2A:DA:84,,Apple,-97,8,10
5E:B3:3A:BE:5C:2E,,Apple,-94,-127,10
32:84:12:BF:15:1B,,,,-127,0
3F:B2:E4:10:D1:DB,,Microsoft,-82,-127,10
C9:2E:AA:E0:34:9E,,Apple,-90,-127,10
DC:32:A6:90:4D:47,Amazfit GTS 3,Anhui Huami Information Technology,-96,-127,10
78:9F:B1:3B:C1:59,,Apple,-91,12,10
4E:FB:04:58:AC:EB,,Apple,-92,-127,10
D4:62:96:E6:28:E9,Ve628e9,Apple,-84,0,10
16:3A:7D:60:C0:4B,Smart Watch,Sony Ericsson Mobile Communications,-78,-127,10
10:D3:C9:44:0E:17,,Microsoft,-94,-127,10
28:54:B3:11:83:DD,,Microsoft,,-127,0
