BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
49:29:3A:0F:37:23,,,,-127,0
55:4C:CF:30:88:A7,,,-86,-127,10
64:1D:5B:F5:1E:1B,,Apple,,-127,0
4F:01:24:EA:AD:B3,,Microsoft,,-127,0
14:08:FB:B2:FA:85,,Microsoft,-95,-127,10
73:8E:82:E7:A3:7F,,Microsoft,-83,-127,10
0B:EE:D0:B0:72:13,,,,-127,0
68:CA:61:C8:B4:86,,Apple,,-127,0
5E:05:3E:A5:65:F2,,Apple,-89,12,10
64:5B:87:A7:10:EC,,,,-127,0
1E:92:2F:B0:37:E7,,Microsoft,,-127,0
C7:0F:31:78:5F:0F,,Apple,-98,-127,10
0A:89:5B:C8:F8:AA,,,-74,-127,10
FE:14:0E:EA:E0:9B,,Apple,,-127,0
3C:24:4E:E4:8F:48,,,,-127,0
61:5A:B5:5A:AF:30,,Apple,-93,12,10
E0:10:DF:1F:41:A1,,Apple,,-127,0
5C:4A:21:16:0E:57,,Microsoft,,-127,0
72:1C:FB:85:63:1F,,Apple,,-127,0
57:86:8B:77:B7:58,,,-93,-127,10
52:D2:5F:45:43:E3,,Microsoft,,-127,0
78:05:88:98:52:21,,Samsung Electronics,-92,-127,10
74:4E:3B:75:3E:D7,,,,-127,0
5A:E3:B0:56:A2:82,,Microsoft,-82,-127,10
7B:79:0A:D7:02:6F,,Microsoft,-80,-127,10
23:46:22:E7:C5:DA,,Microsoft,-98,-127,10
DC:32:A6:90:4D:47,Amazfit GTS 3,Anhui Huami Information Technology,,-127,0
D4:62:96:E6:28:E9,Ve628e9,Apple,-83,0,10
24:14:42:3E:90:9A,,Microsoft,-84,-127,10
7D:F5:40:21:DD:FE,,Apple,-88,12,10
64:F1:F9:66:6E:00,,Apple,-100,-127,10
3B:1C:ED:A6:A1:90,,Microsoft,-91,-127,10
70:B9:50:6B:D6:0A,,MetaSystem,,-127,0
16:3A:7D:60:C0:4B,Smart Watch,Sony Ericsson Mobile Communications,-76,-127,10
1E:06:B0:1E:B6:BB,,Microsoft,,-127,0
34:E1:A5:20:4E:62,,,-92,-127,10
41:66:DB:67:8D:B6,,Apple,-94,-127,10
D3:46:57:B5:14:AB,,Apple,-98,-127,10
52:97:2B:79:64:C4,,Microsoft,-90,-127,10
51:1F:50:F8:EC:FC,,Apple,-91,-127,10
1E:FF:66:58:42:7F,,Microsoft,,-127,0
05:0B:A0:C9:56:A2,,Microsoft,-88,-127,10
60:05:72:AE:B4:20,,Apple,-95,-127,10
