BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
7A:C4:01:2D:D2:74,,Microsoft,-94,-127,10
0D:99:05:7D:5B:34,,Microsoft,-80,-127,10
68:CA:61:C8:B4:86,,Apple,-63,-127,10
7D:3D:3D:D1:B9:32,,,-79,-127,10
1E:92:2F:B0:37:E7,,Microsoft,-66,-127,10
3E:71:60:9E:D2:65,,Microsoft,-93,-127,10
5C:4A:21:16:0E:57,,Microsoft,-92,-127,10
52:D2:5F:45:43:E3,,Microsoft,-93,-127,10
0B:8E:19:66:77:16,,Microsoft,-72,-127,10
4E:02:F2:46:AF:0E,,,-83,-127,10
16:3A:7D:60:C0:4B,Smart Watch,Sony Ericsson Mobile Communications,-78,-127,10
3E:A9:85:7A:C1:EE,,Microsoft,-91,-127,10
1E:FF:66:58:42:7F,,Microsoft,-80,-127,10
