BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
17:3C:50:7B:77:CD,,Microsoft,-88,-127,10
1C:E9:79:61:0C:18,,Microsoft,-86,-127,10
0E:E3:E0:15:CF:5A,,Microsoft,-91,-127,10
5F:03:FD:4B:41:D0,,Apple,-93,-127,10
68:8D:2E:61:FC:88,,Apple,-91,-127,10
55:E6:10:DF:E1:A5,,Apple,-81,12,10
6C:FF:83:E0:3C:1A,,Microsoft,-92,-127,10
C7:57:22:75:E8:9F,,Apple,-93,-127,10
F0:99:19:72:B6:B2,,Garmin International,-98,-127,10
43:D7:84:51:A4:48,,Apple,-80,12,10
69:33:16:09:FB:36,,Apple,-90,12,10
54:B6:B3:B0:8A:2E,,Apple,-86,12,10
C7:F6:9F:DB:18:2F,,Apple,-92,-127,10
5F:24:67:D6:5A:AD,,Apple,-87,12,10
7F:CB:FD:7F:63:AB,,Apple,-79,-127,10
4E:AE:82:58:33:0B,,,-73,-127,10
C7:26:68:9A:28:A4,,Apple,-85,-127,10
79:9E:4D:C0:4B:A6,,Apple,-95,-127,10
C5:ED:C6:3A:13:1B,,Apple,-93,-127,10
54:4C:01:98:93:0F,,Apple,-100,-127,10
57:B9:84:6A:93:E8,,Apple,-77,-127,10
21:6C:7D:E6:B4:03,,Microsoft,-92,-127,10
6F:0C:A1:A1:8C:20,,Apple,-98,-127,10
46:98:3D:63:59:23,,Apple,-78,12,10
6D:D8:81:D0:BB:64,,,-74,-127,10
42:F9:B0:C4:09:E3,,Apple,-77,12,10
42:A1:4B:5B:82:A0,,Google,-99,-127,10
41:44:95:5C:10:78,,Microsoft,-74,-127,10
7E:09:D3:5D:D4:A1,,Apple,-78,-127,10
64:C9:5D:AB:D3:2D,,Microsoft,-44,-127,10
7C:77:25:DD:41:E9,,Apple,-92,8,10
DC:53:E6:C8:17:6B,,Apple,-90,-127,10
FA:47:E5:87:4D:A5,V874da5,Apple,-88,0,10
5A:3F:46:15:00:DF,,,-99,-127,10
D4:62:96:E6:28:E9,Ve628e9,Apple,-90,0,10
