BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
03:F7:4E:05:23:80,,,-88,-127,10
43:6F:C2:3B:23:2F,,Apple,,-127,0
47:24:EC:F3:70:DC,,,-89,-127,10
4C:0B:7C:B7:C4:C3,,Samsung Electronics,-90,-127,10
55:41:56:83:93:72,,Google,-88,-127,10
47:5C:31:53:08:A8,,Samsung Electronics,-95,-127,10
6E:18:48:78:06:CE,,Google,-98,-127,10
D4:34:14:34:05:00,K37_0500,Tencent Holdings Limited.,,-127,0
DF:8E:E6:34:11:B0,,Apple,-100,-127,10
7A:3E:E5:CC:7B:E9,Smart Tag,Samsung Electronics,-81,-127,10
07:F7:B3:7E:29:A5,,,-92,-127,10
54:A5:47:2E:07:32,,Google,-72,-127,10
77:C1:31:18:86:62,,Google,-80,-127,10
5C:22:42:32:08:20,,Google,-97,-127,10
2C:BB:8B:A4:FF:60,,,-85,-127,10
