BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
"[""A4:C1:38:97:91:16"",""A4:C1:38:1D:A2:F5""]",LYWSD03MMC,Telink Semiconductor (Taipei) Co. Ltd.,-87,-127,10
03:E2:7D:09:F8:E8,,Microsoft,-95,-127,10
04:83:F5:D6:D4:06,,Microsoft,-79,-127,10
"[""A4:C1:38:97:91:16"",""A4:C1:38:1D:A2:F5""]",LYWSD03MMC,Telink Semiconductor (Taipei) Co. Ltd.,-87,-127,10
CF:A9:80:BD:EB:CA,,Sony Corporation,-70,-12,10
32:7D:26:D9:40:34,,,-88,-127,10
37:67:F8:D7:0F:80,,Microsoft,-63,-127,10
42:8C:AC:90:3A:BD,[LG] webOS TV OLED48C12LA,LG Electronics,-95,-44,10
40:C6:92:55:39:B5,,,-84,-127,10
28:6F:40:AB:6C:5D,WH-CH720N,"[""Tonly Technology Co. Ltd "",""Amazon.com Services""]",-72,-127,10
64:DD:57:3E:BD:BD,,Google,-91,-127,10
EB:5D:3F:4B:DF:30,,Apple,-100,-127,10
