IP Addresses,MAC Addresses,Manufacturers,Trusted,Alias,DNS Names,NetBios Names,SSDP Manufacturers,SSDP Models,SSDP Names,SSDP UDNs,SNMP Names,mDNS Services,HTTP Servers,Ping (AVG)
192.168.68.1,,TP-LINK,false,,,,TP-LINK,M4R,M4R,e4c797e0-82ce-4f84-b56d-085d9d77c8cd,,,,
192.168.68.100,"[""84:fd:d1:53:e8:41"",""8c:04:ba:12:a8:a1""]","[""Intel Corporate"",""Dell Inc.""]",false,,bonifacy-1.home,BONIFACY,,,,,,,,3.445365
192.168.68.101,c0:8f:20:7a:5c:93,"[""Shenzhen Skyworth Digital  Technology  CO., Ltd"",""SkyworthDigital""]",false,,android.home,,SkyworthDigital,CANAL PLUS BOX,sony,a49a2edc-4256-2434-ef96-7b933618b728,,,,3.361927
192.168.68.102,,motorola,false,,,,motorola,moto g(50),,4f1a6cd2-05da-4c01-9ee5-3b5061fe2a37,,,,
192.168.68.103,08:00:27:84:02:82,PCS Systemtechnik GmbH,false,,,,,,,,,,"[""400 Bad Request (Apache\/2.4.58 (FreeBSD) PHP\/8.3.6)"",""400 Bad Request (Apache\/2.4.58 (FreeBSD) PHP\/8.3.3)""]",
192.168.68.104,f4:63:1f:a1:2d:dd,"HUAWEI TECHNOLOGIES CO.,LTD",false,,,,,,,,,,,
192.168.68.106,00:21:70:8f:99:2e,Dell Inc.,false,,,,,,,,,,,
fe80::c206:c3ff:fe29:350c,c0:06:c3:29:35:0c,"[""TP-LINK"",""TP-Link Corporation Limited""]",false,,,,TP-LINK,M4R,M4R,e4c797e0-82ce-4f84-b56d-085d9d77c8cd,,,,
