BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
"[""A4:C1:38:97:91:16"",""A4:C1:38:1D:A2:F5""]",LYWSD03MMC,Telink Semiconductor (Taipei) Co. Ltd.,-88,-127,10
10:1F:F4:81:CC:4B,,Microsoft,-97,-127,10
D1:F6:1A:66:F6:7D,TY,Hangzhou Tuya Information Technology,-71,-127,10
22:CB:14:95:DC:43,,Microsoft,-82,-127,10
"[""A4:C1:38:97:91:16"",""A4:C1:38:1D:A2:F5""]",LYWSD03MMC,Telink Semiconductor (Taipei) Co. Ltd.,-88,-127,10
06:B4:74:D6:1B:9D,,Google,-94,-127,10
58:21:1A:FE:4A:F0,,,-62,-127,10
C8:36:2A:32:67:EE,,Apple,,-127,0
F0:A6:4F:05:D2:8A,,Apple,-93,-127,10
