BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
C2:40:15:48:0F:28,Amazfit Bip S,Anhui Huami Information Technology,-72,-127,10
5C:10:1F:80:39:26,,Apple,-79,11,10
45:B1:6F:8D:08:DD,,,-93,-127,10
6F:B5:E1:E4:5A:2D,,Apple,-91,-127,10
62:20:70:51:66:8E,,Apple,-81,12,10
6E:60:5B:20:F1:85,,Apple,-90,-127,10
45:85:B1:0C:22:75,,Apple,-90,12,10
52:F2:89:46:39:14,,Apple,-76,-127,10
20:81:8B:9D:B3:EF,,,-92,-127,10
40:84:C2:02:DE:D0,,Samsung Electronics,-97,-127,10
41:AA:66:72:67:AA,Bowie WM05,,-90,-127,10
17:D4:5E:D3:FD:91,,,-94,-127,10
5D:6C:2E:59:C1:B5,,,-92,-127,10
75:65:B9:55:12:6A,,Samsung Electronics,-73,-127,10
DC:FF:AC:01:F5:A2,G35,,-90,-127,10
13:C9:38:21:91:98,,Microsoft,-83,-127,10
C4:43:89:16:20:3F,,Apple,-94,-127,10
5A:88:69:2F:81:D2,JBL TUNE BEAM-LE,,-96,-11,10
68:34:00:65:EB:0B,,Apple,-94,-127,10
7D:98:57:66:10:63,,,-78,-127,10
5B:84:03:D3:7A:47,,Apple,-78,-127,10
DB:AB:29:DA:9D:61,,Apple,-84,-127,10
E7:D9:93:4E:DB:ED,,Apple,-94,-127,10
65:DE:DC:95:27:D0,,Google,-95,-127,10
69:9C:88:19:33:F0,,Apple,-95,12,10
1F:36:69:DA:B0:E9,,Google,-89,-127,10
76:A1:22:F4:AE:DB,,Apple,-95,8,10
E8:EF:12:E9:78:A3,,Apple,-68,-127,10
50:88:22:B9:CF:A5,,Apple,-92,7,10
6D:31:8A:F4:D6:05,,Apple,-95,12,10
41:62:68:34:70:2A,Bowie H1,,-72,-127,10
C3:06:1C:00:1C:34,Xiaomi Smart Band 7 1C34,Anhui Huami Information Technology,-86,-127,10
6C:B1:A0:F7:A8:08,JBL LIVE660NC-LE,,-98,-11,10
47:FD:64:3C:38:D8,JBL LIVE660NC-LE,,-91,-11,10
CD:6C:1E:C4:00:28,,Apple,-96,-127,10
75:4B:E0:D1:74:A8,,,-92,-127,10
F4:05:8B:B8:EE:4F,Galaxy Watch (37A7) LE,,-78,-127,10
