BSSID,AP Name (from app),AP Location (from app),Notes (from app),AP Name (from AP),SSID,Seen,Manufacturer,Device,Channel width maximum (MHz),Phy speed maximum (Mbps),Phy technologies,Basic rates,Additional rates,Supported HT MCS,Supported VHT MCS,Supported HE MCS,Supported EHT MCS,SU-MIMO,MU-MIMO,Security,Capabilities,BSS Transition (802.11v),FT (802.11r) Responder,FT (802.11r) over the DS,RM (802.11k),MFP (802.11w) Required,MFP (802.11w) Capable,FTM (802.11mc) Responder,FTM (802.11mc) Initiator,MLO (802.11be) AP MLD,Frequency band,Channel width (MHz),Frequency from (MHz),Frequency to (MHz),Frequency primary (MHz),Primary channel,Channels used,rssi (dBm),Reported channel utilization (%),Reported stations
e4:8d:8c:f7:26:49,,,,P2PAP_K1_Lelewel�,P2P_RPBI-LEWELA23,1718170140987,Routerboard.com,,40,120,"[""N120"",""a54""]",6,"[9,12,18,24,36,48,54]","[0,1,2,3,4,5]",,,,,,No Security,[ESS],,,,,,,,,,U-NII-1,40,,,5200,40,,-88,,
42:7a:96:79:29:62,,,,,H155-381_602979,1718170139962,,,40,573.5294117647057,"[""AX574"",""N144"",""g54"",""b11""]","[1,2,5.5,11]","[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,32]",,"[0,1,2,3,4,5,6,7,8,9,10,11]",,2x2,2x2,WPA2-Personal,[RSN-PSK-CCMP][ESS][WPS],true,,,true,,true,,,,2.4GHz,20,,,2442,7,,-80,4.3,1
42:7a:96:79:29:66,,,,,H155-381_602979,1718170141794,ZOWEE,H155-381,80,1200.9803921568628,"[""AX1201"",""AC867"",""N300"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9,10,11]",,2x2,2x2,WPA2-Personal,[RSN-PSK-CCMP][ESS][WPS],true,,,true,,true,,,,U-NII-2C,80,,,5500,100,,-88,0.8,2
48:8f:5a:3b:17:fd,,,,P2PAP Pilsudskie�,P2P-RPBI-PILSU,1718170142124,Routerboard.com,,40,90,"[""N90"",""a54""]",6,"[9,12,18,24,36,48,54]","[0,1,2,3,4]",,,,,,No Security,[ESS],,,,,,,,,,U-NII-2C,40,,,5560,112,,-91,,
42:7a:96:79:29:6a,,,,,H155-381_602979_5G,1718170141797,ZOWEE,H155-381,80,1200.9803921568628,"[""AX1201"",""AC867"",""N300"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9,10,11]",,2x2,2x2,WPA2-Personal,[RSN-PSK-CCMP][ESS][WPS],true,,,true,,true,,,,U-NII-2C,80,,,5500,100,,-88,0.8,0
3e:09:f5:00:fe:f7,,,,,Redmi Note 12 Pro+ 5G,1718170140284,,,20,144.4,"[""N144"",""g54"",""b11""]","[1,2,5.5,11]","[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,,,,,,,2.4GHz,20,,,2462,11,,-79,,
e6:8d:8c:f7:26:49,,,,P2PAP_K1_Lelewel�,ap-stacja,1718170140988,,,40,120,"[""N120"",""a54""]",6,"[9,12,18,24,36,48,54]","[0,1,2,3,4,5]",,,,,,No Security,[ESS],,,,,,,,,,U-NII-1,40,,,5200,40,,-87,,
86:93:d3:bf:7f:64,,,,,Galaxy XCover 5 FCB0,1718170140282,,,20,72.2,"[""N72"",""g54"",""b11""]","[1,2,5.5,11]","[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7]",,,,,,WPA2-Personal,[RSN-PSK-CCMP][ESS],,,,,,,,,,2.4GHz,20,,,2462,11,,-84,,
