BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
7B:A0:A4:D5:EF:4F,,Apple,,-127,0
03:FC:59:5A:2F:1F,,Microsoft,-80,-127,10
38:83:14:6B:F3:3C,,Apple,,-127,0
51:7E:53:CF:71:B3,,,,-127,0
0E:53:06:81:C0:CF,,Microsoft,-95,-127,10
53:08:3F:E1:E5:2F,,Apple,,-127,0
56:C3:F3:92:B5:E5,,Apple,-74,-127,10
3C:68:16:59:AC:31,PB 2.6.0,,,-127,0
1E:02:B0:0D:FF:1A,,Microsoft,-77,-127,10
00:02:5B:06:15:55,Feegar Bond SE,Qualcomm Technologies International (QTIL),,-127,0
E0:03:6B:FD:35:0B,Samsung Q77CA 55,Samsung Electronics,,-127,0
48:2C:6F:DA:D1:CA,,Apple,,-127,0
44:27:F3:43:E6:95,Redmi Band Pro E695,,,-127,0
48:E6:95:1B:63:49,,"[""Google"",""eBest IOT""]",,-127,0
F1:93:1A:51:5D:EC,,Microsoft,-89,-127,10
50:F3:DD:8E:39:03,,,,-127,0
F7:F4:98:EF:98:19,,Apple,-73,-127,10
28:1C:D3:DA:18:DC,,Microsoft,-78,-127,10
F2:0E:C2:8D:F9:7D,,Apple,-78,-127,10
31:7B:0F:EC:16:8A,,Microsoft,-96,-127,10
E8:A2:6A:E0:09:5F,,Apple,,-127,0
CA:51:92:91:A4:D9,,Apple,-82,-127,10
1C:AF:4A:05:65:D7,Samsung S90CA 65,Samsung Electronics,,-127,0
E0:03:6B:DA:4F:3B,Samsung Q77CA 65,Samsung Electronics,,-127,0
D8:EF:42:87:F3:22,HUAWEI WATCH 4 Pro-322,HUAWEI Technologies,,-127,0
1D:86:67:3F:94:DF,,Microsoft,,-127,0
D8:E1:3A:56:61:1F,,Apple,,-127,0
E5:BC:43:FC:4B:0F,,Apple,,-127,0
5E:17:24:86:E3:F6,,Apple,-74,12,10
26:52:AC:B4:CD:B1,,Microsoft,-97,-127,10
5C:81:9C:70:79:88,,Apple,,-127,0
0F:3F:84:4A:ED:59,,Google,-90,-127,10
2E:89:B3:8A:BE:64,,Microsoft,-90,-127,10
1E:72:BC:DC:A6:2B,,Microsoft,,-127,0
6C:70:CB:57:66:71,"75"" QLED",Samsung Electronics,-94,-127,10
74:28:80:B6:16:FF,,Google,,-127,0
6B:21:A4:01:3E:DB,,Apple,,-127,0
1B:57:94:6C:08:EE,,,-78,-127,10
71:39:F0:CA:B9:63,,Apple,,-127,0
6C:87:48:CB:94:25,,,,-127,0
D1:94:94:45:DB:4B,,Apple,-79,-127,10
F8:4E:58:A3:5A:F9,Samsung Q67CA 43,Samsung Electronics,,-127,0
18:B6:12:DB:B4:1B,,Microsoft,-92,-127,10
30:92:50:BA:4B:34,,,,-127,0
56:09:D8:4A:62:8B,,Apple,-84,-127,10
60:F1:EF:96:53:DA,,Google,,-127,0
0A:2D:3D:C3:7D:49,,Microsoft,-77,-127,10
48:E6:95:17:18:56,,"[""Google"",""Apple""]",,-127,0
88:36:CF:99:7C:F6,HUAWEI WATCH GT 3-CF6,HUAWEI Technologies,-92,0,10
C6:BB:64:DE:94:69,Mi Smart Band 5,Anhui Huami Information Technology,-89,-127,10
D0:03:DF:F1:8B:BB,[TV] Samsung 7 Series (55),Samsung Electronics,-77,-127,10
F0:A4:40:87:2B:80,,Apple,,-127,0
1C:37:C5:0F:41:8B,,Microsoft,-91,-127,10
F0:AD:33:E7:90:18,,Apple,,-127,0
40:5D:CE:A9:BB:BA,,Apple,,-127,0
2B:82:01:E5:3F:8F,,Microsoft,,-127,0
74:7D:46:D8:83:8C,Galaxy Watch6 Classic (J89L),Samsung Electronics,,-127,0
09:C3:64:EE:DE:4F,,Microsoft,-96,-127,10
1C:AF:4A:13:78:0B,Samsung Q80CA 55,Samsung Electronics,,-127,0
CC:19:A4:12:57:21,,Apple,,-127,0
F8:4E:58:E4:42:8B,Samsung Q67CA 50,Samsung Electronics,,-127,0
09:B6:B9:97:F4:55,,Microsoft,-85,-127,10
75:16:64:0A:32:37,,Google,,-127,0
3A:84:71:27:17:AB,,Microsoft,-86,-127,10
15:F8:59:EE:7D:9A,,Microsoft,-93,-127,10
5C:E1:D8:00:E9:A8,,Samsung Electronics,,-127,0
D8:34:BA:E0:E0:50,,Apple,-96,-127,10
66:9E:35:94:2F:8B,,Apple,,-127,0
54:52:84:96:BB:46,HUAWEI WATCH GT 3-B46,HUAWEI Technologies,,-127,0
4E:06:A0:62:CD:CB,,Apple,,-127,0
18:E3:68:DB:C0:C2,,Microsoft,-82,-127,10
1C:CA:E3:2D:B6:84,,"[""Google"",""Apple"",""eBest IOT""]",,-127,0
C6:AC:04:D0:EA:51,,Microsoft,-92,-127,10
30:C7:E7:E8:AF:52,,Microsoft,,-127,0
15:6F:E3:93:BE:A2,,Microsoft,-96,-127,10
DC:91:66:F0:67:2F,HUAWEI WATCH GT 3-72F,HUAWEI Technologies,-96,0,10
E3:88:61:5B:08:97,KW10_0897,Tencent Holdings Limited.,,-127,0
CA:50:7F:5F:D8:64,,Apple,-91,-127,10
C8:12:0B:09:46:C7,Samsung Q67CA 65,Samsung Electronics,,-127,0
60:55:22:0D:C0:76,,Google,,-127,0
57:98:92:81:E8:FE,,Apple,-90,7,10
78:12:C1:29:51:60,,Apple,,-127,0
