Channel #,Signals,Signals (802.11a),Signals (802.11b),Signals (802.11g),Signals (802.11n),Signals (802.11ac),Signals (802.11ax),Signals (802.11be),Strongest signal (dBm),Strongest signal SSID,Strongest signal BSSID,Beacons,Beacons (802.11a),Beacons (802.11b),Beacons (802.11g),Beacons (802.11n),Beacons (802.11ac),Beacons (802.11ax),Beacons (802.11be),Strongest beacon (dBm),Strongest beacon SSID,Strongest beacon BSSID,Secondary (non beacon) signals,Secondary (802.11n),Secondary (802.11ac),Secondary (802.11ax),Secondary (802.11be),Strongest secondary signal (dBm),Strongest secondary signal SSID,Strongest secondary signal BSSID,Highest reported channel load (%),Reported stations,Lowest MBR
5GHz 161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
5GHz 165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
5GHz 169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
5GHz 173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
5GHz 177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
5GHz 181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
6GHz 253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
