BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
48:73:CB:4B:10:B1,,Xiaomi,-94,-127,10
72:9F:FD:80:07:F0,,Samsung Electronics,-93,-127,10
54:52:84:2C:1C:2E,HUAWEI WATCH FIT-C2E,HUAWEI Technologies,-92,4,10
D1:AC:52:2D:C8:48,Venu Sq,Garmin International,-84,-127,10
C7:98:97:52:93:0F,,Apple,-95,-127,10
57:A7:58:A4:CC:E8,,Apple,-96,-127,10
88:36:CF:D3:8E:F1,HUAWEI Band 4-EF1,HUAWEI Technologies,-96,4,10
56:F1:07:C8:70:B7,,Apple,-99,11,10
00:80:25:E7:32:8C,Vb1-AgD5oQ,Telit Wireless Solutions,-91,-127,10
49:EB:FA:FD:36:0E,,Apple,-84,11,10
D9:00:DB:A2:80:56,,Apple,-94,-127,10
5D:6E:C4:13:13:ED,,Apple,-86,-127,10
ED:3A:BA:E9:ED:16,,Apple,-97,-127,10
46:14:28:0D:68:7A,,Apple,-94,12,10
66:6D:0F:0A:4F:FB,,Apple,-94,11,10
49:D0:5A:4E:31:77,,Apple,-86,7,10
E1:50:E3:7E:2D:20,,Apple,-85,-127,10
55:95:EE:63:ED:4F,,Apple,-94,12,10
55:BD:EF:55:DE:23,,Apple,-90,-127,10
C3:2A:B5:39:2F:0B,,Apple,-98,-127,10
F0:E9:33:46:41:E0,,Apple,-95,-127,10
EB:9E:2E:2C:96:8C,,Apple,-97,-127,10
