BSSID,AP Name (from app),AP Location (from app),Notes (from app),AP Name (from AP),SSID,Seen,Manufacturer,Device,Channel width maximum (MHz),Phy speed maximum (Mbps),Phy technologies,Basic rates,Additional rates,Supported HT MCS,Supported VHT MCS,Supported HE MCS,Supported EHT MCS,SU-MIMO,MU-MIMO,Security,Capabilities,BSS Transition (802.11v),FT (802.11r) Responder,FT (802.11r) over the DS,RM (802.11k),MFP (802.11w) Required,MFP (802.11w) Capable,FTM (802.11mc) Responder,FTM (802.11mc) Initiator,MLO (802.11be) AP MLD,Frequency band,Channel width (MHz),Frequency from (MHz),Frequency to (MHz),Frequency primary (MHz),Primary channel,Channels used,rssi (dBm),Reported channel utilization (%),Reported stations
5a:45:be:ea:f7:38,,,,,AndroidAp22,1718192007178,,,80,433.3,"[""AC433"",""N150"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,32]","[0,1,2,3,4,5,6,7,8,9]",,,,,WPA2-Personal,[RSN-PSK-CCMP][ESS],,,,,,,,,,U-NII-3,80,,,5745,149,,-72,,
00:23:cd:cc:75:60,,,,,Hajski,1718192006472,"TP-LINK TECHNOLOGIES CO.,LTD.",,,54,"[""g54"",""b11""]","[1,2,5.5,11]","[6,12,24,36,9,18,48,54]",,,,,,,WPA/WPA2-Personal,[RSN-PSK-TKIP+CCMP][WPA-PSK-TKIP+CCMP][ESS],,,,,,,,,,2.4GHz,20,,,2437,6,,-79,,
2c:55:d3:43:1f:60,,,,,DarNet_5dd_5GHz,1718192007564,"HUAWEI TECHNOLOGIES CO.,LTD",,80,866.7,"[""AC867"",""N300"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,32]","[0,1,2,3,4,5,6,7,8,9]",,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS],,,,,,,,,,U-NII-1,80,,,5200,40,,-88,,
2c:55:d3:43:1f:5c,,,,,DarNet_5dd,1718192006308,"HUAWEI TECHNOLOGIES CO.,LTD",,20,144.4,"[""N144"",""g54"",""b11""]","[1,2,5.5,11]","[9,18,36,54,6,12,24,48]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS],,,,,,,,,,2.4GHz,20,,,2427,4,,-78,10.6,3
