BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
62:B9:BA:11:1D:22,,Samsung Electronics,-98,-127,10
D7:49:22:00:75:8E,,Apple,-72,-127,10
48:FA:9D:BB:C4:9D,,Apple,-90,-127,10
C9:3E:18:35:2C:00,JBL REFLECT MINI NC-LE,UniqAir,-73,-22,10
6A:8B:D9:7E:2D:BB,,,-75,-127,10
6C:A0:50:B4:80:B0,,Google,-90,-127,10
D7:9C:5B:D9:FE:C1,Mi Smart Band 5,Anhui Huami Information Technology,-58,-127,10
68:18:20:F0:30:F8,,Apple,-95,11,10
73:77:87:45:B6:C9,,Google,-87,-127,10
29:68:FA:FD:1A:96,,,-89,-127,10
75:96:31:BB:B0:AB,,Samsung Electronics,-99,-127,10
65:11:CE:B1:5D:65,,Apple,-82,-127,10
7C:5C:43:4B:38:0B,,,-80,-127,10
73:71:20:71:6A:8D,,,-94,-127,10
64:96:7A:21:37:15,,,-65,-127,10
41:06:57:BC:22:B5,,Apple,-60,12,10
C2:A2:9C:CE:E4:46,,Apple,-70,-127,10
4E:A9:FC:98:B1:81,,Microsoft,-93,-127,10
C9:D9:C4:1A:7D:48,,Apple,-80,-127,10
5A:F3:8E:49:66:84,,,-80,-127,10
62:DB:75:65:2C:33,,Samsung Electronics,-96,-127,10
45:F3:34:30:1B:B7,,Apple,-94,11,10
7E:16:AF:2B:71:2B,,Apple,-84,-127,10
FC:E8:00:81:1E:A2,EDIFIER BLE,,-65,-127,10
74:A0:33:04:21:D0,,,-87,-127,10
40:F4:A0:9B:E1:7F,,Apple,-69,-127,10
FC:E8:00:8A:CD:BC,EDIFIER BLE,,-56,-127,10
73:4F:ED:84:BA:02,,Apple,-80,11,10
E7:1C:9B:C1:FF:9C,,Apple,-77,-127,10
D2:CE:BD:5C:3E:3A,,Apple,-60,-127,10
1A:59:39:73:BD:EC,,,-82,-127,10
