BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
40:D4:57:3E:00:2F,,,-97,-127,10
18:BF:AA:4C:74:82,,,,-127,0
7E:7F:F7:4E:8A:63,,Apple,-79,12,10
5E:B1:30:D9:8B:B3,,,,-127,0
4A:B1:92:78:30:FF,,,-90,-127,10
B0:45:02:D1:05:E7,,,,-127,0
09:18:CC:D3:93:C6,,Microsoft,-97,-127,10
CB:E8:34:97:7D:A9,Amazfit Bip Watch,Anhui Huami Information Technology,-80,-127,10
0A:F4:5F:1F:C1:9F,,,-91,-127,10
FA:B0:F6:43:A8:A9,,Apple,-83,-127,10
5E:98:E4:CF:B9:8F,,Apple,-95,-127,10
24:C7:C2:B9:88:7B,,,,-127,0
D3:40:6D:29:31:E5,,Apple,-95,-127,10
9C:56:36:AF:84:56,HUAWEI Band 6-456,HUAWEI Technologies,-82,4,10
41:AA:66:CB:A8:81,Bowie MA20,,-93,-127,10
60:56:76:C0:32:1E,,Apple,-88,11,10
69:81:2A:15:C4:9F,,,-80,-127,10
