BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
4B:FB:89:F9:97:13,,Apple,-95,-127,10
6C:94:7C:A1:D8:60,,Apple,-89,7,10
CE:3A:49:5F:5F:36,,Apple,-72,-127,10
44:39:00:31:DE:43,,Apple,-90,-127,10
00:12:6F:57:19:53,STANMORE II,"[""Rayson Technology Co., Ltd."",""Visybl""]",-97,-127,10
0A:77:95:EB:25:CC,,,-86,-127,10
60:C3:39:82:64:F8,,Apple,-67,-127,10
62:1F:CF:EC:17:7C,,Apple,-90,-127,10
5E:92:3F:C5:1B:4B,,Apple,-94,11,10
CB:27:A8:85:BB:69,,Apple,-86,-127,10
DF:8E:44:0F:43:90,,Apple,-90,-127,10
CD:4C:73:C2:14:D5,,Apple,-97,-127,10
EC:D4:2D:DF:7D:3B,,Apple,-98,-127,10
64:8B:60:45:96:3E,,,-91,-127,10
E3:FD:67:1D:43:C1,,Apple,-94,-127,10
2F:20:73:E7:89:19,,,-92,-127,10
6E:71:16:07:3A:D1,,Apple,-87,11,10
98:52:3D:A6:9F:BF,JBL Charge,"Sunitec Enterprise Co.,Ltd",-90,-127,10
C2:A0:CD:84:59:A4,,Apple,-96,-127,10
58:DA:DA:41:00:20,,Microsoft,-84,-127,10
FB:F8:92:57:C6:3D,,Apple,-92,-127,10
60:1F:B8:2C:EA:14,,Apple,-93,-127,10
63:80:79:D3:75:80,,Apple,-88,12,10
62:58:3C:B3:89:F4,,Apple,-89,-127,10
F4:FE:FB:81:B4:2D,[TV] Samsung 7 Series (50),"[""Samsung Electronics Co.,Ltd"",""Samsung Electronics""]",-82,-127,10
52:F4:57:A4:E8:54,,Apple,-86,-127,10
4A:80:2F:7E:1A:75,,Apple,-93,8,10
EC:86:AF:62:41:75,,Apple,-90,-127,10
78:66:9C:38:C7:C6,,Apple,-69,-127,10
72:FF:30:44:DA:8C,,Apple,-88,12,10
6C:38:7B:5E:F8:5C,,Apple,-90,12,10
C7:3C:F6:CB:B6:96,,Apple,-97,-127,10
3B:7B:19:BD:38:E3,,,-96,-127,10
C2:46:FF:A8:D5:8B,,Apple,-89,-127,10
56:00:93:7C:96:A7,,Apple,-90,-127,10
4F:85:F2:A9:17:AB,,,-91,-127,10
42:BE:52:BE:BE:24,,Apple,-91,-127,10
6F:5D:65:7B:9B:CC,,Apple,-78,-127,10
00:80:25:EA:4D:97,Vb1-AgLwsQ,"[""Telit Wireless Solutions"",""Telit Wireless Solutions GmbH""]",-74,-127,10
D0:55:98:9C:03:DD,,Apple,-95,-127,10
4F:F3:78:B2:DA:70,,Apple,-85,12,10
45:5F:9E:C8:C5:20,,Apple,-86,8,10
B8:EA:98:05:A4:C1,,Xiaomi Communications Co Ltd,-90,-127,10
